Sample,Condition,Months,Start,End,Low Dur,High Dur,D1-D10,SE,t-stat,Avg RF,Avg HML,Avg Mkt-RF
Full duration-return sample,Calendar,732,1964-07,2025-06,0.013852663018003164,0.002748283399319455,0.01110437961868371,0.0018687903796542084,5.942014545654076,0.0036501366120218577,0.0026980874316939888,0.005770901639344262
Weber institutional-ownership era,Calendar,396,1981-07,2014-06,0.01500217887594307,0.0036592130398238488,0.01134296583611922,0.002748231736569631,4.1273687677726985,0.0036232323232323234,0.0036641414141414135,0.006408585858585858
Dotcom run-up,Calendar,57,1995-07,2000-03,0.01799799354137392,0.02108477897893788,-0.0030867854375639554,0.008778342524114188,-0.3516364768274338,0.00413859649122807,-0.0028122807017543867,0.015987719298245613
Dotcom bust,Calendar,39,2000-04,2003-06,0.012765409798536949,-0.014450502478451631,0.02721591227698858,0.01786461903862895,1.5234532691763076,0.0026615384615384617,0.017164102564102567,-0.01121282051282051
Full dotcom cycle,Calendar,96,1995-07,2003-06,0.015872256395846402,0.006648570886873391,0.009223685508973014,0.009009065256192383,1.0238226993231192,0.003538541666666667,0.005303125,0.0049375
"Post-GFC, pre-post-2014 sample",Calendar,60,2009-07,2014-06,0.027040094322771015,0.017745398629004924,0.009294695693766092,0.004319719360357667,2.151689709073254,4e-05,0.0017750000000000003,0.015556666666666667
Post-2014 replication window,Calendar,132,2014-07,2025-06,0.008196730391341733,-0.0050339100173382445,0.013230640408679979,0.004987593332396021,2.6527103408256485,0.0014280303030303027,-0.0019166666666666672,0.009638636363636363
Post-2014 pre-Covid,Calendar,66,2014-07,2019-12,0.0014915692959956964,-0.006987716517012271,0.008479285813007966,0.005639930156504562,1.503438088365112,0.0007454545454545455,-0.0038106060606060616,0.00893939393939394
Covid/ZLB rebound,Calendar,24,2020-01,2021-12,0.04188688647986899,0.03241864841202219,0.009468238067846803,0.015937722822263224,0.5940772200292459,0.00019166666666666667,-0.005633333333333333,0.0195375
Rate-hike and AI-boom years,Calendar,42,2022-01,2025-06,-0.0005181056522729235,-0.023365104620342164,0.02284699896806924,0.00926352438566013,2.466339809439724,0.0032071428571428568,0.003183333333333332,0.0050809523809523804
"Full sample, lowest RF tercile",RF <= 0.27% per month,249,1967-06,2022-10,0.017906082363422934,0.008057950761606102,0.009848131601816834,0.0033969253524675524,2.8991310022939056,0.0008036144578313253,0.0009397590361445781,0.007338152610441767
"Full sample, highest RF tercile",RF >= 0.45% per month,245,1966-10,2024-08,0.006421949283508255,-0.00993691922729687,0.01635886851080512,0.0031934066725574266,5.12270129933191,0.0064485714285714285,0.006960816326530612,0.001515102040816326
"Full sample, growth beats value",HML < 0,339,1964-11,2025-06,0.010684365605296649,0.02202539283924279,-0.01134102723394614,0.00257026737505448,-4.412392011825522,0.0033710914454277287,-0.020787020648967553,0.014462831858407082
"Full sample, value beats growth",HML >= 0,393,1964-07,2025-03,0.016585621854917947,-0.013880062911454107,0.03046568476637205,0.0022697726313735413,13.422350919764106,0.0038908396946564883,0.022956234096692108,-0.0017267175572519076
"Post-2014, growth beats value",HML < 0,80,2014-07,2025-06,-0.0009381716778641255,0.002249217862508538,-0.0031873895403726656,0.005254696497356708,-0.6065791891075025,0.0013487500000000001,-0.02408375,0.014077499999999998
"Post-2014, value beats growth",HML >= 0,52,2014-12,2025-03,0.02225042588242767,-0.01623872214017945,0.038489148022607125,0.008703919177576465,4.422047957633278,0.0015500000000000002,0.03218653846153846,0.002809615384615385
